Brand,Product_name,Shipping
,,
GIGABYTE,GIGABYTE Vision OC GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070VISION OC-8GD (rev. 2.0) (LHR),Free Shipping
,,
MSI,MSI Ventus GeForce RTX 3080 Video Card RTX 3080 VENTUS 3X PLUS 12G OC LHR,Free Shipping
,,
GIGABYTE,GIGABYTE Eagle Radeon RX 6650 XT Video Card GV-R665XTEAGLE-8GD,Free Shipping
,,
MSI,MSI Gaming GeForce RTX 3050 Video Card RTX 3050 Gaming X 8G,Free Shipping
,,
ASRock,ASRock Radeon RX 6600 Video Card RX6600 CLD 8G,Free Shipping
,,
MSI,MSI Ventus GeForce RTX 3060 Video Card RTX 3060 Ventus 3X 12G OC,Free Shipping
,,
MSI,MSI Ventus GeForce RTX 3060 Video Card RTX 3060 Ventus 2X 12G OC,Free Shipping
,,
MSI,MSI Ventus GeForce RTX 3070 Video Card RTX 3070 Ventus 2X 8G OC LHR,Free Shipping
,,
ASRock,ASRock Challenger D Radeon RX 6600 XT Video Card RX6600XT CLD 8GO,Free Shipping
,,
Sapphire Tech,"SAPPHIRE PULSE AMD Radeon RX 6800 XT Gaming Graphics Card with 16GB GDDR6, AMD RDNA 2 (SKU#11304-03-20G)",Free Shipping
,,
Acer America,Acer Predator BiFrost Arc A770 Video Card Predator BiFrost Intel Arc A770 OC,Free Shipping
,,
MSI,MSI Mech Radeon RX 6600 Video Card RX 6600 MECH 2X 8G,Free Shipping
